Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Enterprise Value,224.10B,,,,,ACN,,,,,,,202.98B,197.97B,189.94B,165.03B,184.85B,,
Trailing P/E,33.73,,,,,ACN,,,,,,,30.93,28.86,28.17,24.12,28.10,,
Forward P/E,30.21,,,,,ACN,,,,,,,27.25,25.97,24.63,23.15,26.45,,
PEG Ratio (5 yr expected),2.46,,,,,ACN,,,,,,,,3.01,3.00,2.76,3.07,,
Price/Sales (ttm),3.60,,,,,ACN,,,,,,,3.32,3.25,3.10,2.73,3.14,,
Price/Book (mrq),8.55,,,,,ACN,,,,,,,8.13,8.03,8.12,7.30,8.57,,
Enterprise Value/Revenue,3.47,,,,,ACN,,,,,,,12.51,12.38,11.47,10.44,11.74,,
Enterprise Value/EBITDA,21.08,,,,,ACN,,,,,,,68.24,84.16,63.29,71.70,63.04,,
Market Cap (intraday),211.35B,167.33B,195.20B,153.58B,131.23B,NFLX,,,,,,,,,,,,,
Enterprise Value,217.78B,175.75B,201.81B,161.87B,139.00B,NFLX,,,,,,,,,,,,,
Trailing P/E,48.19,40.17,47.36,34.72,26.40,NFLX,,,,,,,,,,,,,
Forward P/E,30.21,24.75,38.17,29.76,27.03,NFLX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.92,1.39,2.13,1.63,2.20,NFLX,,,,,,,,,,,,,
Price/Sales (ttm),6.66,5.31,6.23,4.93,4.24,NFLX,,,,,,,,,,,,,
Price/Book (mrq),9.56,7.24,8.94,7.39,6.40,NFLX,,,,,,,,,,,,,
Enterprise Value/Revenue,6.65,20.58,24.65,19.83,17.70,NFLX,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.60,30.57,37.70,30.75,32.72,NFLX,,,,,,,,,,,,,
Market Cap (intraday),217.99B,191.99B,217.47B,204.14B,193.02B,MCD,,,,,,,,,,,,,
Enterprise Value,264.24B,238.83B,263.68B,250.26B,237.48B,MCD,,,,,,,,,,,,,
Trailing P/E,26.50,24.28,32.09,33.57,33.23,MCD,,,,,,,,,,,,,
Forward P/E,24.04,21.28,27.78,26.53,25.19,MCD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.97,2.14,3.67,3.51,3.20,MCD,,,,,,,,,,,,,
Price/Sales (ttm),8.82,8.02,9.41,8.94,8.44,MCD,,,,,,,,,,,,,
Price/Book (mrq),,,,,,MCD,,,,,,,,,,,,,
Enterprise Value/Revenue,10.56,35.69,40.58,42.43,40.07,MCD,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.41,63.48,72.46,81.06,75.99,MCD,,,,,,,,,,,,,
Market Cap (intraday),208.33B,,,,,CSCO,211.07B,211.59B,193.53B,199.30B,186.40B,,,,,,,,
Enterprise Value,192.46B,,,,,CSCO,193.32B,196.70B,180.35B,188.40B,176.65B,,,,,,,,
Trailing P/E,15.49,,,,,CSCO,16.98,18.65,17.31,17.57,16.11,,,,,,,,
Forward P/E,13.21,,,,,CSCO,12.89,12.89,11.95,13.70,12.87,,,,,,,,
PEG Ratio (5 yr expected),3.15,,,,,CSCO,2.74,2.12,1.96,2.01,2.16,,,,,,,,
Price/Sales (ttm),3.62,,,,,CSCO,3.75,3.91,3.68,3.87,3.69,,,,,,,,
Price/Book (mrq),4.61,,,,,CSCO,4.76,5.00,4.64,4.95,4.69,,,,,,,,
Enterprise Value/Revenue,3.32,,,,,CSCO,13.18,12.94,12.38,13.86,12.96,,,,,,,,
Enterprise Value/EBITDA,10.44,,,,,CSCO,39.02,39.31,39.93,47.58,44.27,,,,,,,,
Market Cap (intraday),213.18B,195.36B,201.25B,222.30B,215.98B,TMO,,,,,,,,,,,,,
Enterprise Value,242.31B,226.23B,233.03B,248.27B,242.22B,TMO,,,,,,,,,,,,,
Trailing P/E,36.16,34.60,34.01,32.69,30.96,TMO,,,,,,,,,,,,,
Forward P/E,25.38,20.08,21.93,24.21,23.75,TMO,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.82,1.93,3.84,4.24,4.16,TMO,,,,,,,,,,,,,
Price/Sales (ttm),4.94,4.55,4.67,5.06,4.93,TMO,,,,,,,,,,,,,
Price/Book (mrq),4.70,4.47,4.76,5.05,4.94,TMO,,,,,,,,,,,,,
Enterprise Value/Revenue,5.58,21.40,21.80,23.18,21.15,TMO,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.02,75.99,89.25,98.44,83.70,TMO,,,,,,,,,,,,,
Market Cap (intraday),197.51B,181.69B,185.95B,174.26B,160.66B,LIN,,,,,,,,,,,,,
Enterprise Value,211.61B,195.82B,199.76B,187.61B,172.25B,LIN,,,,,,,,,,,,,
Trailing P/E,33.69,32.55,42.39,43.19,43.20,LIN,,,,,,,,,,,,,
Forward P/E,26.32,24.51,27.86,26.60,25.25,LIN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.46,3.02,3.51,3.29,2.68,LIN,,,,,,,,,,,,,
Price/Sales (ttm),6.21,5.59,5.72,5.37,4.91,LIN,,,,,,,,,,,,,
Price/Book (mrq),5.08,4.52,4.65,4.35,4.27,LIN,,,,,,,,,,,,,
Enterprise Value/Revenue,6.52,24.01,24.35,22.90,21.81,LIN,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.87,64.29,66.23,64.12,60.37,LIN,,,,,,,,,,,,,
Market Cap (intraday),203.00B,148.88B,139.48B,136.27B,109.08B,INTC,,,,,,,,,,,,,
Enterprise Value,226.85B,173.67B,162.22B,149.94B,126.04B,INTC,,,,,,,,,,,,,
Trailing P/E,,,,16.84,8.18,INTC,,,,,,,,,,,,,
Forward P/E,26.60,20.20,114.94,59.88,14.06,INTC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.28,1.73,10.32,5.69,11.86,INTC,,,,,,,,,,,,,
Price/Sales (ttm),3.79,2.73,2.45,2.14,1.56,INTC,,,,,,,,,,,,,
Price/Book (mrq),1.99,1.48,1.42,1.34,1.09,INTC,,,,,,,,,,,,,
Enterprise Value/Revenue,4.29,12.27,12.53,12.80,8.98,INTC,,,,,,,,,,,,,
Enterprise Value/EBITDA,27.29,66.82,96.90,107.02,47.74,INTC,,,,,,,,,,,,,
Market Cap (intraday),199.11B,168.07B,189.19B,176.09B,191.43B,ABT,,,,,,,,,,,,,
Enterprise Value,207.59B,176.76B,196.56B,183.63B,197.93B,ABT,,,,,,,,,,,,,
Trailing P/E,39.01,33.05,33.14,25.90,24.78,ABT,,,,,,,,,,,,,
Forward P/E,24.69,20.96,24.75,22.94,24.81,ABT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),27.41,36.18,22.52,40.24,18.52,ABT,,,,,,,,,,,,,
Price/Sales (ttm),5.02,4.22,4.62,4.09,4.32,ABT,,,,,,,,,,,,,
Price/Book (mrq),5.31,4.52,5.11,4.80,5.35,ABT,,,,,,,,,,,,,
Enterprise Value/Revenue,5.20,17.43,19.70,18.84,19.61,ABT,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.64,66.43,75.74,72.84,86.78,ABT,,,,,,,,,,,,,
Market Cap (intraday),154.21B,,,,,NKE,,,,,,,167.27B,155.01B,161.26B,182.94B,170.02B,,
Enterprise Value,156.46B,,,,,NKE,,,,,,,170.66B,156.48B,163.02B,184.84B,170.73B,,
Trailing P/E,29.67,,,,,NKE,,,,,,,34.03,31.49,30.33,33.56,31.16,,
Forward P/E,27.78,,,,,NKE,,,,,,,29.76,27.10,26.32,28.33,35.97,,
PEG Ratio (5 yr expected),1.93,,,,,NKE,,,,,,,2.01,1.86,1.75,2.02,3.59,,
Price/Sales (ttm),3.06,,,,,NKE,,,,,,,3.34,3.12,3.28,3.85,3.73,,
Price/Book (mrq),10.90,,,,,NKE,,,,,,,11.97,11.07,11.10,11.98,10.75,,
Enterprise Value/Revenue,3.04,,,,,NKE,,,,,,,12.75,12.09,12.71,14.92,12.82,,
Enterprise Value/EBITDA,22.97,,,,,NKE,,,,,,,84.95,87.42,111.89,118.79,89.58,,
Market Cap (intraday),191.03B,164.76B,163.96B,174.49B,174.18B,TMUS,,,,,,,,,,,,,
Enterprise Value,299.89B,274.66B,273.34B,281.77B,281.46B,TMUS,,,,,,,,,,,,,
Trailing P/E,25.65,27.90,45.24,70.31,114.75,TMUS,,,,,,,,,,,,,
Forward P/E,16.45,13.53,19.46,20.75,19.27,TMUS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.30,0.25,0.35,0.37,0.47,TMUS,,,,,,,,,,,,,
Price/Sales (ttm),2.55,2.20,2.19,2.29,2.20,TMUS,,,,,,,,,,,,,
Price/Book (mrq),2.95,2.48,2.45,2.50,2.46,TMUS,,,,,,,,,,,,,
Enterprise Value/Revenue,3.83,14.27,14.24,14.35,13.88,TMUS,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.38,40.25,39.56,42.63,46.82,TMUS,,,,,,,,,,,,,
Market Cap (intraday),,149.50B,156.54B,140.67B,157.34B,WFC,,,,,,173.18B,,,,,,,
Enterprise Value,,,,,,WFC,,,,,,,,,,,,,
Trailing P/E,,10.32,12.34,11.90,10.72,WFC,,,,,,9.96,,,,,,,
Forward P/E,,8.33,8.95,7.90,8.11,WFC,,,,,,9.82,,,,,,,
PEG Ratio (5 yr expected),,0.60,0.29,0.75,0.17,WFC,,,,,,0.99,,,,,,,
Price/Sales (ttm),,1.93,2.13,1.94,2.13,WFC,,,,,,2.17,,,,,,,
Price/Book (mrq),,0.92,0.97,0.88,1.01,WFC,,,,,,1.04,,,,,,,
Enterprise Value/Revenue,,,,,,WFC,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,WFC,,,,,,,,,,,,,
Market Cap (intraday),174.41B,182.91B,171.69B,158.44B,151.19B,CMCSA,,,,,,,,,,,,,
Enterprise Value,270.47B,278.43B,266.87B,253.67B,243.12B,CMCSA,,,,,,,,,,,,,
Trailing P/E,12.07,27.89,31.01,31.33,29.64,CMCSA,,,,,,,,,,,,,
Forward P/E,10.15,10.54,11.89,10.15,9.36,CMCSA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.37,0.76,0.84,0.72,0.72,CMCSA,,,,,,,,,,,,,
Price/Sales (ttm),1.51,1.57,1.50,1.38,1.30,CMCSA,,,,,,,,,,,,,
Price/Book (mrq),2.11,2.14,2.08,1.96,1.84,CMCSA,,,,,,,,,,,,,
Enterprise Value/Revenue,2.24,9.25,8.75,8.54,7.96,CMCSA,,,,,,,,,,,,,
Enterprise Value/EBITDA,7.04,27.79,26.01,25.29,29.96,CMCSA,,,,,,,,,,,,,
Market Cap (intraday),174.20B,,,,,INTU,138.64B,143.49B,124.55B,118.63B,120.27B,,,,,,,,
Enterprise Value,178.36B,,,,,INTU,141.67B,146.42B,130.15B,123.51B,124.53B,,,,,,,,
Trailing P/E,68.16,,,,,INTU,58.78,64.69,64.81,64.04,58.72,,,,,,,,
Forward P/E,38.17,,,,,INTU,30.21,31.65,28.90,30.67,30.86,,,,,,,,
PEG Ratio (5 yr expected),2.17,,,,,INTU,2.13,1.95,1.78,1.91,1.88,,,,,,,,
Price/Sales (ttm),11.93,,,,,INTU,9.75,10.30,9.23,9.07,9.54,,,,,,,,
Price/Book (mrq),10.25,,,,,INTU,8.03,8.16,7.85,7.38,7.32,,,,,,,,
Enterprise Value/Revenue,12.09,,,,,INTU,47.57,53.99,21.63,40.61,47.95,,,,,,,,
Enterprise Value/EBITDA,41.70,,,,,INTU,265.29,563.15,43.50,244.57,415.09,,,,,,,,
Market Cap (intraday),170.33B,148.30B,163.14B,182.92B,158.43B,DIS,,,,,,,,,,,,,
Enterprise Value,206.04B,184.03B,201.26B,222.83B,198.43B,DIS,,,,,,,,,,,,,
Trailing P/E,72.14,65.89,39.68,55.02,49.65,DIS,,,,,,,,,,,,,
Forward P/E,20.49,15.85,15.80,24.04,21.01,DIS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.46,0.73,0.74,1.04,0.70,DIS,,,,,,,,,,,,,
Price/Sales (ttm),1.92,1.69,1.88,2.17,1.92,DIS,,,,,,,,,,,,,
Price/Book (mrq),1.72,1.52,1.67,1.90,1.63,DIS,,,,,,,,,,,,,
Enterprise Value/Revenue,2.32,8.66,9.01,10.21,8.44,DIS,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.01,63.09,117.49,56.60,55.99,DIS,,,,,,,,,,,,,
Market Cap (intraday),170.73B,183.32B,177.17B,183.79B,193.22B,DHR,,,,,,,,,,,,,
Enterprise Value,180.51B,194.62B,191.29B,200.20B,208.98B,DHR,,,,,,,,,,,,,
Trailing P/E,29.14,29.12,25.83,26.09,29.26,DHR,,,,,,,,,,,,,
Forward P/E,29.15,25.06,25.77,25.19,25.58,DHR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),17.75,5.28,4.84,3.62,3.19,DHR,,,,,,,,,,,,,
Price/Sales (ttm),5.79,6.04,5.71,5.90,6.26,DHR,,,,,,,,,,,,,
Price/Book (mrq),3.26,3.54,3.56,3.80,4.27,DHR,,,,,,,,,,,,,
Enterprise Value/Revenue,6.11,28.32,26.73,27.93,24.97,DHR,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.43,96.16,94.65,82.62,74.05,DHR,,,,,,,,,,,,,
Market Cap (intraday),165.35B,136.25B,156.35B,163.49B,165.47B,VZ,,,,,,,,,,,,,
Enterprise Value,333.21B,309.10B,332.45B,337.22B,337.43B,VZ,,,,,,,,,,,,,
Trailing P/E,7.91,6.48,7.24,7.69,8.57,VZ,,,,,,,,,,,,,
Forward P/E,8.51,6.85,7.93,8.27,7.88,VZ,,,,,,,,,,,,,
PEG Ratio (5 yr expected),7.09,6.23,6.29,6.84,5.88,VZ,,,,,,,,,,,,,
Price/Sales (ttm),1.24,1.01,1.15,1.19,1.22,VZ,,,,,,,,,,,,,
Price/Book (mrq),1.69,1.43,1.68,1.79,1.89,VZ,,,,,,,,,,,,,
Enterprise Value/Revenue,2.48,9.27,10.20,10.25,9.57,VZ,,,,,,,,,,,,,
Enterprise Value/EBITDA,6.67,25.64,28.28,28.04,23.87,VZ,,,,,,,,,,,,,
Market Cap (intraday),169.72B,123.72B,132.73B,142.12B,123.02B,QCOM,,,,,,,,,,,,,
Enterprise Value,173.79B,130.53B,142.04B,150.76B,132.12B,QCOM,,,,,,,,,,,,,
Trailing P/E,23.31,14.54,12.69,12.22,9.64,QCOM,,,,,,,,,,,,,
Forward P/E,16.58,12.08,12.11,13.70,10.98,QCOM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.70,1.08,1.03,1.15,0.92,QCOM,,,,,,,,,,,,,
Price/Sales (ttm),4.78,3.24,3.28,3.37,2.83,QCOM,,,,,,,,,,,,,
Price/Book (mrq),7.86,5.99,6.74,7.56,6.83,QCOM,,,,,,,,,,,,,
Enterprise Value/Revenue,4.85,15.12,16.81,16.25,13.96,QCOM,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.47,63.52,58.99,59.26,44.96,QCOM,,,,,,,,,,,,,
Market Cap (intraday),130.08B,115.62B,127.31B,127.73B,113.53B,BA,,,,,,,,,,,,,
Enterprise Value,168.98B,154.13B,167.93B,167.79B,156.49B,BA,,,,,,,,,,,,,
Trailing P/E,,,,,,BA,,,,,,,,,,,,,
Forward P/E,85.47,34.84,,2.00k,59.88,BA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),6.53,,,,,BA,,,,,,,,,,,,,
Price/Sales (ttm),1.71,1.56,1.79,1.90,1.84,BA,,,,,,,,,,,,,
Price/Book (mrq),,,,,,BA,,,,,,,,,,,,,
Enterprise Value/Revenue,2.23,8.51,8.50,9.36,7.83,BA,,,,,,,,,,,,,
Enterprise Value/EBITDA,98.94,-3.50k,248.05,275.06,336.54,BA,,,,,,,,,,,,,
Market Cap (intraday),159.68B,187.28B,207.07B,230.29B,287.63B,PFE,,,,,,,,,,,,,
Enterprise Value,179.10B,207.83B,222.02B,242.43B,287.18B,PFE,,,,,,,,,,,,,
Trailing P/E,15.45,8.82,7.23,7.46,9.82,PFE,,,,,,,,,,,,,
Forward P/E,12.56,10.07,11.00,11.92,10.33,PFE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,,,,,PFE,,,,,,,,,,,,,
Price/Sales (ttm),2.36,2.44,2.26,2.33,2.94,PFE,,,,,,,,,,,,,
Price/Book (mrq),1.65,1.89,2.05,2.41,3.11,PFE,,,,,,,,,,,,,
Enterprise Value/Revenue,2.61,15.71,17.44,13.26,11.82,PFE,,,,,,,,,,,,,
Enterprise Value/EBITDA,9.74,-189.46,51.04,30.02,40.66,PFE,,,,,,,,,,,,,
Market Cap (intraday),89.30B,80.82B,70.49B,65.52B,54.48B,BX,,,,,,,,,,,,,
Enterprise Value,,,,,,BX,,,,,,,,,,,,,
Trailing P/E,49.82,64.54,114.78,37.22,21.02,BX,,,,,,,,,,,,,
Forward P/E,21.41,17.39,20.33,17.18,13.37,BX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.81,2.36,2.76,1.50,1.17,BX,,,,,,,,,,,,,
Price/Sales (ttm),12.06,12.80,15.18,9.12,5.55,BX,,,,,,,,,,,,,
Price/Book (mrq),12.52,11.25,9.94,8.56,7.26,BX,,,,,,,,,,,,,
Enterprise Value/Revenue,8.40,,,,,BX,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,BX,,,,,,,,,,,,,
Market Cap (intraday),157.74B,144.38B,163.46B,168.90B,149.95B,TXN,,,,,,,,,,,,,
Enterprise Value,160.01B,146.04B,164.04B,168.91B,148.80B,TXN,,,,,,,,,,,,,
Trailing P/E,22.50,19.09,20.20,19.77,17.32,TXN,,,,,,,,,,,,,
Forward P/E,25.77,19.92,24.69,24.63,21.37,TXN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),5.28,2.55,3.28,3.28,2.81,TXN,,,,,,,,,,,,,
Price/Sales (ttm),8.79,7.76,8.51,8.60,7.62,TXN,,,,,,,,,,,,,
Price/Book (mrq),9.48,9.06,10.72,11.59,10.32,TXN,,,,,,,,,,,,,
Enterprise Value/Revenue,8.83,32.22,36.20,38.57,31.86,TXN,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.81,62.41,68.61,73.60,59.76,TXN,,,,,,,,,,,,,
Market Cap (intraday),,135.32B,141.66B,146.65B,143.69B,MS,,,,,,140.07B,,,,,,,
Enterprise Value,,,,,,MS,,,,,,,,,,,,,
Trailing P/E,,14.35,14.65,14.28,12.34,MS,,,,,,16.47,,,,,,,
Forward P/E,,11.16,13.24,12.27,11.31,MS,,,,,,13.18,,,,,,,
PEG Ratio (5 yr expected),,2.48,2.94,,,MS,,,,,,3.00,,,,,,,
Price/Sales (ttm),,2.72,2.89,3.00,2.84,MS,,,,,,2.77,,,,,,,
Price/Book (mrq),,1.46,1.54,1.60,1.54,MS,,,,,,1.55,,,,,,,
Enterprise Value/Revenue,,,,,,MS,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,MS,,,,,,,,,,,,,
Market Cap (intraday),156.58B,127.81B,121.90B,119.04B,127.38B,IBM,,,,,,,,,,,,,
Enterprise Value,204.13B,171.82B,166.18B,164.31B,171.64B,IBM,,,,,,,,,,,,,
Trailing P/E,22.13,59.70,59.74,67.23,93.30,IBM,,,,,,,,,,,,,
Forward P/E,17.33,13.87,14.12,13.72,14.62,IBM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.46,2.14,2.22,2.11,1.20,IBM,,,,,,,,,,,,,
Price/Sales (ttm),2.60,2.12,2.02,1.98,2.10,IBM,,,,,,,,,,,,,
Price/Book (mrq),6.78,5.77,5.64,5.42,6.36,IBM,,,,,,,,,,,,,
Enterprise Value/Revenue,3.34,11.65,10.74,11.53,10.28,IBM,,,,,,,,,,,,,
Enterprise Value/EBITDA,14.44,50.86,47.48,65.75,36.04,IBM,,,,,,,,,,,,,
Market Cap (intraday),164.72B,143.76B,118.76B,129.17B,140.14B,AMGN,,,,,,,,,,,,,
Enterprise Value,190.45B,171.06B,148.79B,158.81B,167.37B,AMGN,,,,,,,,,,,,,
Trailing P/E,21.89,18.11,15.09,19.96,21.08,AMGN,,,,,,,,,,,,,
Forward P/E,15.70,13.72,12.55,13.59,14.49,AMGN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.23,2.04,1.21,1.34,1.42,AMGN,,,,,,,,,,,,,
Price/Sales (ttm),6.17,5.43,4.56,4.97,5.46,AMGN,,,,,,,,,,,,,
Price/Book (mrq),21.52,21.21,22.21,35.28,38.39,AMGN,,,,,,,,,,,,,
Enterprise Value/Revenue,7.10,24.78,21.30,26.01,24.47,AMGN,,,,,,,,,,,,,
Enterprise Value/EBITDA,12.85,47.50,45.61,32.51,54.45,AMGN,,,,,,,,,,,,,
Market Cap (intraday),143.32B,143.72B,151.54B,150.95B,156.90B,PM,,,,,,,,,,,,,
Enterprise Value,188.02B,188.12B,196.23B,190.86B,178.75B,PM,,,,,,,,,,,,,
Trailing P/E,17.93,17.91,17.46,16.74,18.01,PM,,,,,,,,,,,,,
Forward P/E,14.31,13.64,15.46,15.27,17.42,PM,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.60,2.73,2.45,2.42,3.51,PM,,,,,,,,,,,,,
Price/Sales (ttm),4.18,4.33,4.73,4.75,4.96,PM,,,,,,,,,,,,,
Price/Book (mrq),,,,,,PM,,,,,,,,,,,,,
Enterprise Value/Revenue,5.48,20.58,21.88,23.80,21.93,PM,,,,,,,,,,,,,
Enterprise Value/EBITDA,13.70,49.62,55.42,63.45,52.78,PM,,,,,,,,,,,,,
Market Cap (intraday),145.86B,124.10B,124.70B,122.75B,127.31B,UNP,,,,,,,,,,,,,
Enterprise Value,179.58B,158.14B,158.98B,156.68B,161.04B,UNP,,,,,,,,,,,,,
Trailing P/E,22.96,18.60,18.09,17.95,18.49,UNP,,,,,,,,,,,,,
Forward P/E,21.10,17.27,18.05,17.39,17.09,UNP,,,,,,,,,,,,,
PEG Ratio (5 yr expected),4.05,3.10,2.80,2.54,2.00,UNP,,,,,,,,,,,,,
Price/Sales (ttm),6.06,5.05,5.05,5.05,5.35,UNP,,,,,,,,,,,,,
Price/Book (mrq),10.42,9.41,10.01,10.09,10.80,UNP,,,,,,,,,,,,,
Enterprise Value/Revenue,7.44,26.62,26.66,25.87,26.06,UNP,,,,,,,,,,,,,
Enterprise Value/EBITDA,15.14,55.24,55.32,51.37,52.41,UNP,,,,,,,,,,,,,
Market Cap (intraday),145.23B,139.27B,125.52B,118.06B,124.67B,CAT,,,,,,,,,,,,,
Enterprise Value,175.83B,169.58B,155.77B,148.05B,154.85B,CAT,,,,,,,,,,,,,
Trailing P/E,16.17,17.00,18.20,18.10,17.44,CAT,,,,,,,,,,,,,
Forward P/E,14.16,13.19,14.81,14.35,15.82,CAT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.73,1.41,1.53,1.49,1.55,CAT,,,,,,,,,,,,,
Price/Sales (ttm),2.22,2.20,2.10,2.04,2.27,CAT,,,,,,,,,,,,,
Price/Book (mrq),7.09,7.62,6.92,7.44,7.93,CAT,,,,,,,,,,,,,
Enterprise Value/Revenue,2.64,10.09,8.99,9.33,9.33,CAT,,,,,,,,,,,,,
Enterprise Value/EBITDA,12.08,40.68,36.05,44.93,55.82,CAT,,,,,,,,,,,,,
Market Cap (intraday),153.61B,114.03B,114.64B,94.80B,78.43B,NOW,,,,,,,,,,,,,
Enterprise Value,151.80B,111.49B,111.97B,92.75B,76.60B,NOW,,,,,,,,,,,,,
Trailing P/E,96.78,80.31,286.72,290.45,392.19,NOW,,,,,,,,,,,,,
Forward P/E,59.17,45.66,60.61,50.51,42.37,NOW,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.23,1.72,2.30,1.93,1.41,NOW,,,,,,,,,,,,,
Price/Sales (ttm),18.11,14.24,15.04,13.06,11.43,NOW,,,,,,,,,,,,,
Price/Book (mrq),21.39,16.55,20.47,18.84,17.42,NOW,,,,,,,,,,,,,
Enterprise Value/Revenue,17.91,48.73,52.08,44.25,39.48,NOW,,,,,,,,,,,,,
Enterprise Value/EBITDA,108.82,247.21,354.32,289.86,248.70,NOW,,,,,,,,,,,,,
Market Cap (intraday),140.01B,116.27B,128.61B,110.60B,109.12B,SPGI,,,,,,,,,,,,,
Enterprise Value,150.37B,126.76B,139.43B,120.84B,119.11B,SPGI,,,,,,,,,,,,,
Trailing P/E,57.47,51.47,48.89,33.80,28.63,SPGI,,,,,,,,,,,,,
Forward P/E,30.67,25.19,32.15,27.55,26.74,SPGI,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.54,2.10,2.47,2.35,4.51,SPGI,,,,,,,,,,,,,
Price/Sales (ttm),11.57,9.85,11.07,9.82,9.64,SPGI,,,,,,,,,,,,,
Price/Book (mrq),3.95,3.26,3.54,3.04,2.96,SPGI,,,,,,,,,,,,,
Enterprise Value/Revenue,12.24,41.10,44.96,38.24,40.56,SPGI,,,,,,,,,,,,,
Enterprise Value/EBITDA,30.26,93.14,115.52,85.10,121.30,SPGI,,,,,,,,,,,,,
Market Cap (intraday),133.66B,133.18B,153.22B,166.60B,150.36B,UPS,,,,,,,,,,,,,
Enterprise Value,151.82B,150.42B,170.22B,182.52B,162.85B,UPS,,,,,,,,,,,,,
Trailing P/E,15.88,13.52,14.50,14.70,13.62,UPS,,,,,,,,,,,,,
Forward P/E,15.92,14.39,16.64,16.95,13.70,UPS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.12,2.45,2.53,2.52,1.92,UPS,,,,,,,,,,,,,
Price/Sales (ttm),1.46,1.41,1.58,1.69,1.51,UPS,,,,,,,,,,,,,
Price/Book (mrq),6.97,6.65,7.65,8.42,8.80,UPS,,,,,,,,,,,,,
Enterprise Value/Revenue,1.63,7.14,7.72,7.96,6.02,UPS,,,,,,,,,,,,,
Enterprise Value/EBITDA,10.04,65.28,45.53,51.50,29.41,UPS,,,,,,,,,,,,,
Market Cap (intraday),128.09B,143.46B,124.07B,120.05B,147.04B,COP,,,,,,,,,,,,,
Enterprise Value,137.70B,153.09B,132.05B,127.45B,153.58B,COP,,,,,,,,,,,,,
Trailing P/E,11.75,11.49,8.25,6.81,8.48,COP,,,,,,,,,,,,,
Forward P/E,10.76,11.55,10.89,8.61,9.10,COP,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.72,,,0.72,0.48,COP,,,,,,,,,,,,,
Price/Sales (ttm),2.19,2.22,1.72,1.62,2.04,COP,,,,,,,,,,,,,
Price/Book (mrq),2.68,2.99,2.60,2.50,2.94,COP,,,,,,,,,,,,,
Enterprise Value/Revenue,2.30,10.74,10.69,8.61,8.28,COP,,,,,,,,,,,,,
Enterprise Value/EBITDA,5.23,23.17,23.50,18.85,20.91,COP,,,,,,,,,,,,,
Market Cap (intraday),132.36B,122.66B,137.77B,127.22B,144.08B,HON,,,,,,,,,,,,,
Enterprise Value,144.72B,135.26B,149.69B,137.65B,153.10B,HON,,,,,,,,,,,,,
Trailing P/E,24.88,22.86,26.95,26.29,27.44,HON,,,,,,,,,,,,,
Forward P/E,20.08,18.28,22.88,21.10,23.42,HON,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.01,1.85,2.33,2.16,2.05,HON,,,,,,,,,,,,,
Price/Sales (ttm),3.71,3.45,3.92,3.68,4.22,HON,,,,,,,,,,,,,
Price/Book (mrq),7.68,7.04,7.87,7.62,8.08,HON,,,,,,,,,,,,,
Enterprise Value/Revenue,3.97,14.68,16.37,15.53,16.67,HON,,,,,,,,,,,,,
